Year;Ticker;ID_ISIN;Name;ESG;ENVIRONMENTAL;SOCIAL;GOVERNANCE;AIR_QUALITY;CLIMATE_EXPOS;ECOLOGICAL_IMPACT;ENERGY_MANAGEMENT;ENV_SPPLY_CHAIN_MGMT;GHG_EMISSIONS_MNGT;SUSTAINABLE_FINANCE;SUSTAINABLE_PRODUCT;WASTE_MANAGEMENT;WATER_MANAGEMENT;ACCESS_AFFORDABILITY;COMM_RIGHTS_RELATION;CUSTOMER_WELFARE;DATA_SEC_CSTMR_PRIVCY;ETHICS_COMPLIANCE;LABOR_EMPLYMNT_PRACT;MARKETING_LABELING;OHS_MGMT;OPERATION_RISK_MGMT;PRODUCT_QUALITY_MNGT;SOCIAL_SPPL_CHN_MGMT;BOD_DIRECTOR_ROLES;BOD_DIVERSITY;BOD_INDEPENDENCE;BOD_REFRESHMENT;INCENTIVE_STRUCTURE;PAY_PERFORMANCE;PAY_GOVERNANCE;DIRECTOR_VOTING;SHAREHOLDER_POLICIES;AUDIT_CMTE;AUDIT_OUTCOME;EXTERNAL_AUDITOR;SALES_REV_TURN;EBITDA;EBIT;PRETAX_INC;NET_INCOME;BS_TOT_ASSET;EARN_FOR_COMMON;TOT_COMMON_EQY;TOTAL_EQUITY;BS_LT_BORROW;IS_RD_EXPEND;BS_CUR_ASSET_REPORT;BS_CUR_LIAB;BS_SH_OUT;PX_LAST;BS_TOT_LIAB2;PFD_EQTY_HYBRID_CAPITAL;MINORITY_NONCONTROLLING_INTEREST;CURRENT_FULL_FISCAL_YEAR_END;EBIT_ON_ASSET;RETURN_ON_ASSET;RETURN_COM_EQY;TOBIN_Q_RATIO;SALES_GROWTH;LT_DEBT_TO_TOT_ASSET;RD_EXPEND_TO_NET_SALES;CUR_RATIO;BETA_RAW_OVERRIDABLE;GICS_SECTOR_NAME
2021;PH UN Equity;US7010941042;Parker-Hannifin Corp;5,02;3,54;4,14;7,79;#N/A N/A;#N/A N/A;#N/A N/A;3,16;#N/A N/A;#N/A N/A;#N/A N/A;5,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;5,99;#N/A N/A;3,00;#N/A N/A;7,42;6,11;7,47;7,15;8,01;9,88;8,70;7,76;6,97;9,49;10,00;7,15; $15.292.584.000,00 ; $3.248.810.000,00 ; $2.662.055.000,00 ; $2.317.960.000,00 ; $1.816.703.000,00 ; $22.395.475.000,00 ; $1.816.703.000,00 ; $8.755.082.000,00 ; $8.768.280.000,00 ; $6.250.525.000,00 ; $198.000.000,00 ; $7.907.649.000,00 ; $5.257.491.000,00 ; 128.477.634,00 ; $318,12 ; $13.627.195.000,00 ; $-   ; $13.198.000,00 ;30.06.2023;11,89%;8,61%;22,91%;2,43;13,23%;27,91%;1,29%;1,50;1,59;Industrials
2022;PH UN Equity;US7010941042;Parker-Hannifin Corp;4,85;3,25;4,10;7,64;#N/A N/A;#N/A N/A;#N/A N/A;2,81;#N/A N/A;#N/A N/A;#N/A N/A;5,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;5,87;#N/A N/A;3,00;#N/A N/A;7,40;5,13;7,30;8,03;9,76;8,13;8,86;7,63;6,97;10,00;10,00;5,09; $17.181.805.000,00 ; $3.417.345.000,00 ; $2.751.481.000,00 ; $1.572.245.000,00 ; $1.259.939.000,00 ; $30.520.887.000,00 ; $1.259.939.000,00 ; $9.322.380.000,00 ; $9.334.476.000,00 ; $12.025.860.000,00 ; $224.500.000,00 ; $7.285.000.000,00 ; $5.703.403.000,00 ; 128.266.030,00 ; $291,00 ; $21.186.411.000,00 ; $-   ; $12.096.000,00 ;30.06.2023;9,02%;4,76%;13,94%;1,92;12,35%;39,40%;1,31%;1,28;1,41;Industrials
2023;PH UN Equity;US7010941042;Parker-Hannifin Corp;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A; $19.826.043.000,00 ; $4.541.851.000,00 ; $3.639.282.000,00 ; $3.348.176.000,00 ; $2.632.523.000,00 ; $29.694.935.000,00 ; $2.632.523.000,00 ; $11.302.578.000,00 ; $11.312.379.000,00 ; $8.108.696.000,00 ; #N/A ; $6.729.860.000,00 ; $7.497.073.000,00 ; 128.410.854,00 ; $460,70 ; $18.382.556.000,00 ; $-   ; $9.801.000,00 ;30.06.2023;12,26%;8,74%;25,53%;2,00;15,39%;27,31%;#WERT!;0,90;1,12;Industrials
2015;PHM UN Equity;US7458671010;PulteGroup Inc;1,84;0,34;0,00;7,09;#N/A N/A;1,00;0,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;0,00;#N/A N/A;0,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;0,00;#N/A N/A;#N/A N/A;#N/A N/A;9,29;4,09;8,17;7,31;8,28;8,03;8,31;5,05;5,14;9,49;10,00;7,89; $5.981.964.000,00 ; $879.608.000,00 ; $833.386.000,00 ; $816.023.000,00 ; $494.090.000,00 ; $9.189.406.000,00 ; $490.887.000,00 ; $4.759.325.000,00 ; $4.759.325.000,00 ; $2.342.382.000,00 ; #N/A ; $6.306.985.000,00 ; $2.087.699.000,00 ; 349.148.351,00 ; $17,82 ; $4.430.081.000,00 ; $-   ; $-   ;31.12.2023;9,07%;5,56%;10,27%;2,21;2,74%;25,49%;#WERT!;3,02;1,32;Consumer Discretionary
2016;PHM UN Equity;US7458671010;PulteGroup Inc;1,96;0,34;0,00;7,69;#N/A N/A;1,00;0,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;0,00;#N/A N/A;0,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;0,00;#N/A N/A;#N/A N/A;#N/A N/A;9,42;2,97;8,35;7,99;7,82;8,66;9,26;8,90;5,58;9,49;10,00;8,03; $7.676.530.000,00 ; $1.044.725.000,00 ; $990.718.000,00 ; $933.850.000,00 ; $602.703.000,00 ; $10.178.200.000,00 ; $597.981.000,00 ; $4.659.363.000,00 ; $4.659.363.000,00 ; $3.460.919.000,00 ; #N/A ; $7.525.631.000,00 ; $2.057.918.000,00 ; 319.089.720,00 ; $18,38 ; $5.518.837.000,00 ; $-   ; $-   ;31.12.2023;9,73%;6,22%;12,70%;1,97;28,33%;34,00%;#WERT!;3,66;1,16;Consumer Discretionary
2017;PHM UN Equity;US7458671010;PulteGroup Inc;1,87;0,34;0,00;7,26;#N/A N/A;1,00;0,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;0,00;#N/A N/A;0,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;0,00;#N/A N/A;#N/A N/A;#N/A N/A;4,84;3,12;10,00;7,79;8,51;9,08;9,01;7,59;5,58;9,49;10,00;6,93; $8.577.686.000,00 ; $1.022.213.000,00 ; $971.215.000,00 ; $938.828.000,00 ; $447.221.000,00 ; $9.686.649.000,00 ; $442.649.000,00 ; $4.154.026.000,00 ; $4.154.026.000,00 ; $3.444.771.000,00 ; $-   ; $7.521.682.000,00 ; $2.087.852.000,00 ; 286.752.436,00 ; $33,25 ; $5.532.623.000,00 ; $-   ; $-   ;31.12.2023;10,03%;4,50%;10,04%;1,92;11,74%;35,56%;0,00%;3,60;1,09;Consumer Discretionary
2018;PHM UN Equity;US7458671010;PulteGroup Inc;1,92;0,34;0,00;7,51;#N/A N/A;1,00;0,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;0,00;#N/A N/A;0,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;0,00;#N/A N/A;#N/A N/A;#N/A N/A;4,76;4,55;10,00;8,87;8,52;8,48;9,42;7,77;5,58;9,97;10,00;6,41; $10.188.331.000,00 ; $1.410.818.000,00 ; $1.361.389.000,00 ; $1.347.540.000,00 ; $1.022.023.000,00 ; $10.172.976.000,00 ; $1.010.831.000,00 ; $4.817.782.000,00 ; $4.817.782.000,00 ; $3.376.478.000,00 ; #N/A ; $8.423.902.000,00 ; $1.978.716.000,00 ; 277.109.507,00 ; $25,99 ; $5.355.194.000,00 ; $-   ; $-   ;31.12.2023;13,38%;10,29%;22,53%;1,77;18,78%;33,19%;#WERT!;4,26;0,81;Consumer Discretionary
2019;PHM UN Equity;US7458671010;PulteGroup Inc;2,02;0,34;0,00;8,00;#N/A N/A;1,00;0,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;0,00;#N/A N/A;0,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;0,00;#N/A N/A;#N/A N/A;#N/A N/A;4,76;4,49;10,00;9,41;8,48;8,31;8,98;8,81;8,60;9,89;10,00;6,22; $10.212.957.000,00 ; $1.427.151.000,00 ; $1.353.052.000,00 ; $1.339.576.000,00 ; $1.016.700.000,00 ; $10.715.597.000,00 ; $1.006.329.000,00 ; $5.458.180.000,00 ; $5.458.180.000,00 ; $3.164.026.000,00 ; $-   ; $8.956.079.000,00 ; $2.093.391.000,00 ; 270.235.297,00 ; $38,80 ; $5.257.417.000,00 ; $-   ; $-   ;31.12.2023;12,63%;9,73%;19,59%;1,64;0,24%;29,53%;0,00%;4,28;0,47;Consumer Discretionary
2020;PHM UN Equity;US7458671010;PulteGroup Inc;3,54;0,34;6,87;7,85;#N/A N/A;1,00;0,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;0,00;#N/A N/A;0,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;6,87;#N/A N/A;#N/A N/A;#N/A N/A;5,30;4,07;10,00;9,76;8,09;8,24;9,00;7,26;8,60;10,00;10,00;6,77; $11.036.082.000,00 ; $1.834.401.000,00 ; $1.746.520.000,00 ; $1.728.694.000,00 ; $1.406.839.000,00 ; $12.205.498.000,00 ; $1.394.385.000,00 ; $6.569.989.000,00 ; $6.569.989.000,00 ; $3.234.334.000,00 ; $-   ; $10.381.995.000,00 ; $2.401.175.000,00 ; 266.464.063,00 ; $43,12 ; $5.635.509.000,00 ; $-   ; $-   ;31.12.2023;14,31%;12,28%;23,19%;1,71;8,06%;26,50%;0,00%;4,32;1,57;Consumer Discretionary
2021;PHM UN Equity;US7458671010;PulteGroup Inc;4,92;2,28;6,82;8,12;#N/A N/A;1,00;6,02;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;2,35;#N/A N/A;0,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;6,82;#N/A N/A;#N/A N/A;#N/A N/A;7,31;3,99;10,00;8,87;7,32;8,67;8,96;8,81;8,60;9,99;10,00;6,84; $13.926.882.000,00 ; $2.665.077.000,00 ; $2.573.724.000,00 ; $2.509.845.000,00 ; $1.946.320.000,00 ; $13.352.631.000,00 ; $1.929.985.000,00 ; $7.489.515.000,00 ; $7.489.515.000,00 ; $2.725.049.000,00 ; $-   ; $10.910.410.000,00 ; $3.138.067.000,00 ; 249.325.873,00 ; $57,16 ; $5.863.116.000,00 ; $-   ; $-   ;31.12.2023;19,28%;15,23%;27,45%;1,51;26,19%;20,41%;0,00%;3,48;1,88;Consumer Discretionary
2022;PHM UN Equity;US7458671010;PulteGroup Inc;3,43;0,34;6,99;7,33;#N/A N/A;1,00;0,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;0,00;#N/A N/A;0,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;6,99;#N/A N/A;#N/A N/A;#N/A N/A;6,64;4,21;10,00;6,82;7,74;8,15;8,95;7,31;5,58;9,97;10,00;6,97; $16.002.979.000,00 ; $3.547.894.000,00 ; $3.453.276.000,00 ; $3.439.558.000,00 ; $2.617.317.000,00 ; $14.796.515.000,00 ; $2.617.317.000,00 ; $8.914.098.000,00 ; $8.914.098.000,00 ; $2.696.550.000,00 ; $-   ; $12.462.824.000,00 ; $2.899.700.000,00 ; 225.840.443,00 ; $45,53 ; $5.882.417.000,00 ; $-   ; $-   ;31.12.2023;23,34%;18,60%;31,91%;1,09;14,91%;18,22%;0,00%;4,30;1,73;Consumer Discretionary
2023;PHM UN Equity;US7458671010;PulteGroup Inc;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A; $16.061.578.000,00 ; $3.514.967.000,00 ; $3.406.843.000,00 ; $3.449.267.000,00 ; $2.602.372.000,00 ; $16.087.050.000,00 ; $2.592.871.000,00 ; $10.383.257.000,00 ; $10.383.257.000,00 ; $2.026.979.000,00 ; $-   ; $13.668.378.000,00 ; $3.241.948.000,00 ; 212.557.522,00 ; $103,22 ; $5.703.793.000,00 ; $-   ; $-   ;31.12.2023;21,18%;16,85%;26,87%;1,11;0,37%;12,60%;0,00%;4,22;1,34;Consumer Discretionary
2015;PKG UN Equity;US6951561090;Packaging Corp of America;2,40;0,20;1,59;7,52;3,23;#N/A N/A;0,00;0,00;0,00;0,00;#N/A N/A;0,00;0,00;0,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;5,07;#N/A N/A;0,00;#N/A N/A;9,64;2,91;8,50;3,64;8,52;8,18;9,23;9,31;6,06;9,49;10,00;9,97; $5.741.700.000,00 ; $1.106.500.000,00 ; $750.000.000,00 ; $664.500.000,00 ; $436.800.000,00 ; $5.272.300.000,00 ; $431.600.000,00 ; $1.633.300.000,00 ; $1.633.300.000,00 ; $2.312.000.000,00 ; $13.100.000,00 ; $1.554.500.000,00 ; $561.900.000,00 ; 96.100.000,00 ; $63,05 ; $3.639.000.000,00 ; $-   ; $-   ;31.12.2023;14,23%;8,23%;27,36%;3,02;-1,89%;43,85%;0,23%;2,77;1,29;Materials
2016;PKG UN Equity;US6951561090;Packaging Corp of America;4,02;2,33;2,02;7,77;4,90;#N/A N/A;0,00;5,92;2,96;2,50;#N/A N/A;0,00;0,00;3,29;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;6,70;#N/A N/A;0,00;#N/A N/A;9,60;2,85;7,73;7,67;8,52;7,28;9,22;9,12;6,06;10,00;10,00;9,77; $5.779.000.000,00 ; $1.138.300.000,00 ; $780.300.000,00 ; $688.500.000,00 ; $449.600.000,00 ; $5.777.000.000,00 ; $445.200.000,00 ; $1.759.800.000,00 ; $1.759.800.000,00 ; $2.640.300.000,00 ; $13.300.000,00 ; $1.696.300.000,00 ; $625.400.000,00 ; 94.200.000,00 ; $84,82 ; $4.017.200.000,00 ; $-   ; $-   ;31.12.2023;13,51%;8,14%;26,24%;2,78;0,65%;45,70%;0,23%;2,71;1,15;Materials
2017;PKG UN Equity;US6951561090;Packaging Corp of America;4,80;2,95;4,81;7,81;4,13;#N/A N/A;0,00;6,55;3,13;2,76;#N/A N/A;0,00;6,40;4,64;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;5,55;#N/A N/A;4,31;#N/A N/A;9,60;2,78;7,73;8,55;8,52;7,34;9,20;8,77;6,06;10,00;10,00;9,97; $6.444.900.000,00 ; $1.323.900.000,00 ; $932.500.000,00 ; $828.600.000,00 ; $668.600.000,00 ; $6.197.500.000,00 ; $663.000.000,00 ; $2.182.600.000,00 ; $2.182.600.000,00 ; $2.499.400.000,00 ; $12.800.000,00 ; $1.915.100.000,00 ; $832.700.000,00 ; 94.300.000,00 ; $120,55 ; $4.014.900.000,00 ; $-   ; $-   ;31.12.2023;15,05%;11,17%;33,63%;2,59;11,52%;40,33%;0,20%;2,30;1,06;Materials
2018;PKG UN Equity;US6951561090;Packaging Corp of America;4,84;2,97;5,31;7,70;4,61;#N/A N/A;0,00;6,35;3,30;2,75;#N/A N/A;0,00;6,40;4,22;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;6,84;#N/A N/A;4,31;#N/A N/A;9,60;2,71;7,73;6,60;8,48;7,78;9,55;8,86;6,06;10,00;10,00;9,96; $7.014.600.000,00 ; $1.478.600.000,00 ; $1.067.700.000,00 ; $970.500.000,00 ; $738.000.000,00 ; $6.569.700.000,00 ; $732.300.000,00 ; $2.672.400.000,00 ; $2.672.400.000,00 ; $2.501.300.000,00 ; $14.400.000,00 ; $2.115.000.000,00 ; $693.600.000,00 ; 94.500.000,00 ; $83,46 ; $3.897.300.000,00 ; $-   ; $-   ;31.12.2023;16,25%;11,56%;30,17%;2,43;8,84%;38,07%;0,21%;3,05;1,16;Materials
2019;PKG UN Equity;US6951561090;Packaging Corp of America;5,33;3,78;5,08;7,84;4,25;#N/A N/A;0,00;6,14;2,99;2,55;#N/A N/A;3,00;6,40;5,95;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;6,24;#N/A N/A;4,31;#N/A N/A;9,76;3,64;7,87;6,25;8,49;7,82;9,67;9,01;6,06;10,00;10,00;9,97; $6.964.300.000,00 ; $1.511.400.000,00 ; $1.053.700.000,00 ; $917.000.000,00 ; $696.400.000,00 ; $7.235.800.000,00 ; $691.200.000,00 ; $3.071.000.000,00 ; $3.071.000.000,00 ; $2.670.400.000,00 ; $16.000.000,00 ; $2.478.400.000,00 ; $723.800.000,00 ; 94.700.000,00 ; $111,99 ; $4.164.800.000,00 ; $-   ; $-   ;31.12.2023;14,56%;10,09%;24,07%;2,25;-0,72%;36,91%;0,23%;3,42;1,21;Materials
2020;PKG UN Equity;US6951561090;Packaging Corp of America;5,62;4,42;5,04;7,62;3,85;#N/A N/A;8,72;6,25;3,42;2,36;#N/A N/A;3,00;6,40;5,93;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;6,14;#N/A N/A;4,31;#N/A N/A;9,57;3,72;7,73;5,53;8,47;8,31;9,40;7,51;6,52;9,49;10,00;9,94; $6.658.200.000,00 ; $1.208.200.000,00 ; $723.900.000,00 ; $632.700.000,00 ; $461.000.000,00 ; $7.433.200.000,00 ; $457.400.000,00 ; $3.246.300.000,00 ; $3.246.300.000,00 ; $2.667.400.000,00 ; $15.500.000,00 ; $2.750.300.000,00 ; $782.600.000,00 ; 94.800.000,00 ; $137,91 ; $4.186.900.000,00 ; $-   ; $-   ;31.12.2023;9,74%;6,29%;14,48%;2,30;-4,40%;35,88%;0,23%;3,51;0,83;Materials
2021;PKG UN Equity;US6951561090;Packaging Corp of America;5,52;4,48;4,34;7,53;4,02;#N/A N/A;8,72;6,22;3,56;2,31;#N/A N/A;3,00;6,39;6,29;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;4,36;#N/A N/A;4,31;#N/A N/A;9,57;3,59;7,73;5,18;8,50;7,91;9,10;7,70;6,52;9,49;10,00;9,75; $7.730.300.000,00 ; $1.735.900.000,00 ; $1.241.400.000,00 ; $1.108.700.000,00 ; $841.100.000,00 ; $7.836.800.000,00 ; $834.700.000,00 ; $3.607.200.000,00 ; $3.607.200.000,00 ; $2.663.500.000,00 ; $14.500.000,00 ; $2.732.700.000,00 ; $884.800.000,00 ; 93.500.000,00 ; $136,15 ; $4.229.600.000,00 ; $-   ; $-   ;31.12.2023;15,84%;11,02%;24,36%;2,16;16,10%;33,99%;0,19%;3,09;0,68;Materials
2022;PKG UN Equity;US6951561090;Packaging Corp of America;5,41;4,28;5,09;7,22;6,21;#N/A N/A;4,16;6,36;3,85;5,71;#N/A N/A;3,00;0,00;6,02;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;6,27;#N/A N/A;4,31;#N/A N/A;9,51;3,64;7,58;4,59;8,51;7,32;9,25;6,41;6,52;9,49;10,00;9,00; $8.478.000.000,00 ; $1.958.900.000,00 ; $1.420.700.000,00 ; $1.364.800.000,00 ; $1.029.800.000,00 ; $8.003.800.000,00 ; $1.021.900.000,00 ; $3.667.100.000,00 ; $3.667.100.000,00 ; $2.719.000.000,00 ; #N/A ; $2.508.300.000,00 ; $875.500.000,00 ; 89.700.000,00 ; $127,91 ; $4.336.700.000,00 ; $-   ; $-   ;31.12.2023;17,75%;13,00%;28,10%;1,98;9,67%;33,97%;#WERT!;2,86;0,68;Materials
2023;PKG UN Equity;US6951561090;Packaging Corp of America;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A; $7.802.400.000,00 ; $1.680.500.000,00 ; $1.075.100.000,00 ; $1.014.100.000,00 ; $765.200.000,00 ; $8.681.100.000,00 ; $759.000.000,00 ; $3.997.300.000,00 ; $3.997.300.000,00 ; $2.693.000.000,00 ; #N/A ; $3.254.400.000,00 ; $1.265.700.000,00 ; 89.600.000,00 ; $162,91 ; $4.683.800.000,00 ; $-   ; $-   ;31.12.2023;12,38%;9,17%;19,81%;1,94;-7,97%;31,02%;#WERT!;2,57;0,72;Materials
2015;PLD UN Equity;US74340W1036;Prologis Inc;3,89;2,35;3,21;6,69;#N/A N/A;1,00;#N/A N/A;4,02;#N/A N/A;2,85;#N/A N/A;0,00;#N/A N/A;3,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;3,21;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;8,51;3,77;8,17;1,58;8,16;3,34;9,33;9,06;6,06;9,49;10,00;9,08; $2.197.074.000,00 ; $1.228.704.000,00 ; $380.172.000,00 ; $948.605.000,00 ; $869.439.000,00 ; $31.394.767.000,00 ; $862.788.000,00 ; $14.589.700.000,00 ; $18.420.836.000,00 ; $2.994.982.000,00 ; #N/A ; #N/A ; #N/A ; 524.512.000,00 ; $42,92 ; $12.973.931.000,00 ; $78.235.000,00 ; $3.752.901.000,00 ;31.12.2023;1,21%;3,04%;6,06%;2,42;24,78%;9,54%;#WERT!;#N/A;0,75;Real Estate
2016;PLD UN Equity;US74340W1036;Prologis Inc;4,30;2,64;5,22;6,65;#N/A N/A;1,00;#N/A N/A;3,31;#N/A N/A;2,87;#N/A N/A;2,70;#N/A N/A;3,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;5,22;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;8,51;3,69;8,17;1,47;8,23;3,10;9,14;8,76;6,52;9,49;10,00;8,97; $2.533.135.000,00 ; $1.599.363.000,00 ; $668.378.000,00 ; $1.347.104.000,00 ; $1.209.932.000,00 ; $30.249.932.000,00 ; $1.203.218.000,00 ; $14.912.846.000,00 ; $18.458.140.000,00 ; $2.656.778.000,00 ; #N/A ; #N/A ; #N/A ; 524.512.000,00 ; $52,79 ; $11.791.792.000,00 ; $78.235.000,00 ; $3.467.059.000,00 ;31.12.2023;2,21%;3,93%;8,16%;2,46;15,30%;8,78%;#WERT!;#N/A;0,72;Real Estate
2017;PLD UN Equity;US74340W1036;Prologis Inc;4,54;2,87;6,69;6,46;#N/A N/A;1,00;#N/A N/A;3,74;#N/A N/A;2,85;#N/A N/A;3,47;#N/A N/A;3,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;6,69;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;8,57;2,39;8,17;1,50;7,93;3,37;9,09;8,70;6,52;9,49;10,00;8,28; $2.618.134.000,00 ; $1.650.206.000,00 ; $771.066.000,00 ; $1.815.568.000,00 ; $1.652.325.000,00 ; $29.481.075.000,00 ; $1.641.931.000,00 ; $15.562.210.000,00 ; $18.705.741.000,00 ; $967.471.000,00 ; #N/A ; #N/A ; #N/A ; 532.186.000,00 ; $64,51 ; $10.775.334.000,00 ; $68.948.000,00 ; $3.074.583.000,00 ;31.12.2023;2,62%;5,53%;10,78%;2,51;3,36%;3,28%;#WERT!;#N/A;0,72;Real Estate
2018;PLD UN Equity;US74340W1036;Prologis Inc;4,94;3,59;7,02;6,29;#N/A N/A;1,00;#N/A N/A;4,19;#N/A N/A;6,13;#N/A N/A;5,32;#N/A N/A;3,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;7,02;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;8,27;3,76;8,17;2,09;7,72;3,53;8,33;5,67;6,52;9,49;10,00;8,62; $2.804.449.000,00 ; $1.794.216.000,00 ; $847.002.000,00 ; $1.886.290.000,00 ; $1.649.361.000,00 ; $38.417.664.000,00 ; $1.643.426.000,00 ; $22.229.145.000,00 ; $25.800.888.000,00 ; $813.740.000,00 ; #N/A ; #N/A ; #N/A ; 629.616.000,00 ; $58,72 ; $12.616.776.000,00 ; $68.948.000,00 ; $3.502.795.000,00 ;31.12.2023;2,20%;4,86%;8,70%;2,27;7,12%;2,12%;#WERT!;#N/A;0,76;Real Estate
2019;PLD UN Equity;US74340W1036;Prologis Inc;4,81;3,36;6,82;6,36;#N/A N/A;1,00;#N/A N/A;3,34;#N/A N/A;5,94;#N/A N/A;5,82;#N/A N/A;3,00;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;6,82;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;8,24;3,68;8,17;2,06;7,64;2,85;8,34;7,15;6,52;9,49;10,00;8,30; $3.330.621.000,00 ; $2.131.827.000,00 ; $991.948.000,00 ; $1.776.363.000,00 ; $1.572.959.000,00 ; $40.031.850.000,00 ; $1.566.950.000,00 ; $22.584.179.000,00 ; $26.071.784.000,00 ; $1.090.804.000,00 ; #N/A ; #N/A ; #N/A ; 631.797.000,00 ; $89,14 ; $13.960.066.000,00 ; $68.948.000,00 ; $3.418.657.000,00 ;31.12.2023;2,48%;4,01%;6,99%;2,21;18,76%;2,72%;#WERT!;#N/A;0,71;Real Estate
